ID,RA_1,Dec_1,PhotoFlag,FWHM,r_petro,er_petro
SPLUS.STRIPE82-0004.01819.griz,0.715,0.1336,0,4.48,16.91,0.02
SPLUS.STRIPE82-0004.01971.griz,0.7441,0.142,0,2.99,16.61,0.02
SPLUS.STRIPE82-0004.04028.griz,1.8444,0.2652,3,3.75,16.44,0.02
SPLUS.STRIPE82-0004.04343.griz,1.4328,0.3076,3,3.79,12.09,0.02
SPLUS.STRIPE82-0004.04513.griz,1.8568,0.2788,2,5.07,16.06,0.02
SPLUS.STRIPE82-0004.04590.griz,1.8071,0.2784,0,9.79,16.43,0.02
SPLUS.STRIPE82-0004.04895.griz,1.2292,0.2969,0,3.96,16.37,0.02
SPLUS.STRIPE82-0004.05192.griz,1.432,0.3128,3,4.13,16.8,0.05
SPLUS.STRIPE82-0004.05522.griz,1.7793,0.3483,3,106.0,10.55,0.02
SPLUS.STRIPE82-0004.05942.griz,0.9785,0.3502,0,6.39,16.97,0.02
SPLUS.STRIPE82-0004.06001.griz,1.2501,0.3487,0,2.81,16.9,0.02
SPLUS.STRIPE82-0004.06023.griz,1.2181,0.3518,0,6.56,16.77,0.02
SPLUS.STRIPE82-0004.06194.griz,1.2805,0.3621,19,94.28,12.88,0.02
SPLUS.STRIPE82-0004.06461.griz,1.8152,0.3737,2,3.12,16.1,0.02
SPLUS.STRIPE82-0004.06521.griz,0.9825,0.3776,2,2.93,16.66,0.02
SPLUS.STRIPE82-0004.07361.griz,1.2501,0.4237,0,9.99,16.51,0.02
SPLUS.STRIPE82-0004.07787.griz,0.7155,0.4294,0,3.72,16.8,0.02
SPLUS.STRIPE82-0004.08045.griz,1.2930000000000001,0.4681,0,3.75,15.27,0.02
SPLUS.STRIPE82-0004.08068.griz,0.8688,0.4584,0,3.03,16.1,0.02
SPLUS.STRIPE82-0004.08069.griz,1.4742,0.4537,0,4.22,15.66,0.02
SPLUS.STRIPE82-0004.08205.griz,1.3274,0.4655,0,6.52,15.26,0.02
SPLUS.STRIPE82-0004.08247.griz,1.5723,0.4615,0,3.15,15.93,0.02
SPLUS.STRIPE82-0004.08439.griz,1.2049,0.467,2,3.63,16.51,0.02
SPLUS.STRIPE82-0004.08498.griz,0.8779,0.4658,2,3.14,16.98,0.02
SPLUS.STRIPE82-0004.08583.griz,0.8849,0.4702,2,25.83,16.58,0.02
SPLUS.STRIPE82-0004.08599.griz,1.0078,0.4938,2,3.52,15.79,0.02
SPLUS.STRIPE82-0004.08605.griz,1.0109,0.4764,2,3.78,16.27,0.02
SPLUS.STRIPE82-0004.08630.griz,0.9886,0.4754,0,5.84,16.75,0.02
SPLUS.STRIPE82-0004.08643.griz,1.8342,0.4926,2,3.76,15.09,0.02
SPLUS.STRIPE82-0004.08672.griz,1.8376,0.4821,2,5.54,16.59,0.02
SPLUS.STRIPE82-0004.08833.griz,1.6189,0.4848,0,4.81,15.84,0.02
SPLUS.STRIPE82-0004.08849.griz,1.8058,0.48200000000000004,0,3.52,16.73,0.02
SPLUS.STRIPE82-0004.09222.griz,1.0135,0.5027,0,11.91,16.95,0.02
SPLUS.STRIPE82-0004.09966.griz,1.0267,0.5509,0,4.21,15.91,0.02
SPLUS.STRIPE82-0004.10194.griz,1.8558,0.5433,0,4.57,16.59,0.02
SPLUS.STRIPE82-0004.10243.griz,1.4823,0.5493,0,4.05,15.99,0.02
SPLUS.STRIPE82-0004.10248.griz,1.4072,0.5495,0,12.39,16.64,0.02
